여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,,,,
구분,고유번호,성별,나이,지역,설문일시,문항1
KT,w34910911406712,남,1975년 03월 06일 (만 50 세),인천,2025-01-07 6:26,1
KT,w3201965162272,남,1976년 08월 05일 (만 49 세),서울,2025-01-06 17:09,10
KT,w17233380578851,여,1974년 09월 18일 (만 51 세),제주,2025-01-07 6:31,4
KT,w240263355869264,남,1945년 04월 07일 (만 80 세),경기,2025-01-06 21:18,4
KT,,,(만 2025 세),,2025-01-06 14:33,"4, 9"
KT,w164861760288944,남,1983년 07월 02일 (만 42 세),대전,2025-01-07 5:58,10
KT,w257391834502589,남,1972년 03월 30일 (만 53 세),강원,2025-01-07 7:38,5
KT,w52356764636778,여,1980년 10월 22일 (만 45 세),인천,2025-01-06 11:59,2
LG,w50377577311332,남,1950년 03월 24일 (만 75 세),인천,2025-01-07 8:33,4
LG,w8978530993295,남,1974년 09월 21일 (만 51 세),경기,2025-01-07 5:41,4
KT,w102508683408139,남,1960년 09월 27일 (만 65 세),인천,2025-01-07 8:26,"4, 1, 8"
LG,w8482441352013,여,1988년 월 일 (만 37 세),전북,2025-01-07 15:33,"3, 2"
LG,w185575033321154,여,1999년 01월 03일 (만 26 세),서울,2025-01-06 23:00,3
KT,w164776956918788,남,1959년 06월 11일 (만 66 세),서울,2025-01-07 10:31,4
LG,w64350539373398,남,1953년 12월 12일 (만 72 세),서울,2025-01-06 21:06,"4, 1, 5, 2"
LG,w10972710725001,여,1971년 월 일 (만 54 세),대전,2025-01-06 14:11,10
LG,w33613121534933,남,1983년 09월 25일 (만 42 세),경기,2025-01-07 5:50,10
LG,w10345173903613,여,1968년 월 일 (만 57 세),서울,2025-01-07 9:18,"1, 2"
LG,w208770039103310,남,1979년 04월 01일 (만 46 세),경기,2025-01-06 21:39,4
LG,w39933368699345,여,1988년 07월 24일 (만 37 세),부산,2025-01-07 6:24,4
LG,w10372567255734,여,1997년 07월 19일 (만 28 세),경기,2025-01-07 0:08,4
KT,w362987419852,여,1971년 04월 25일 (만 54 세),서울,2025-01-06 10:11,2
KT,w84903779208131,남,1965년 08월 14일 (만 60 세),광주,2025-01-06 14:29,4
LG,w45821216250686,여,1979년 04월 27일 (만 46 세),경남,2025-01-07 10:45,5
LG,w13392453034057,여,1975년 07월 09일 (만 50 세),부산,2025-01-07 7:27,3
KT,w9658279224789,여,1980년 02월 23일 (만 45 세),경북,2025-01-06 22:00,10
LG,w208412763693018,남,1961년 08월 10일 (만 64 세),경기,2025-01-06 16:08,"4, 5"
LG,w70266839328400,여,1989년 12월 16일 (만 36 세),경기,2025-01-06 19:33,2
LG,w138698527263047,남,1997년 04월 11일 (만 28 세),충남,2025-01-06 14:55,10
KT,w233236477919156,남,1957년 08월 02일 (만 68 세),서울,2025-01-07 10:52,"1, 4"
KT,w187426051162298,남,1960년 01월 16일 (만 65 세),전북,2025-01-06 9:58,"5, 7, 4"
KT,w164126379174497,남,1971년 03월 08일 (만 54 세),서울,2025-01-07 0:55,4
LG,w8943358291195,여,1977년 월 일 (만 48 세),경기,2025-01-06 12:14,10
LG,w24251851374628,여,1964년 09월 14일 (만 61 세),부산,2025-01-07 8:01,4
LG,w207054544973342,여,1973년 03월 29일 (만 52 세),제주,2025-01-06 19:46,10
KT,w12090248438129,남,1962년 01월 20일 (만 63 세),서울,2025-01-06 11:39,4
LG,w12757462092616,남,1978년 월 일 (만 47 세),서울,2025-01-07 9:06,4
LG,w67122919628362,남,1979년 07월 27일 (만 46 세),경기,2025-01-10 21:00,1
LG,w10966164254585,남,1971년 월 일 (만 54 세),경남,2025-01-08 13:26,10
LG,w14772067028143,남,2000년 월 일 (만 25 세),경기,2025-01-06 22:05,4
LG,w44529081380371,여,1981년 01월 04일 (만 44 세),전북,2025-01-06 22:31,10
LG,w193511510080563,남,1979년 07월 26일 (만 46 세),서울,2025-01-07 10:50,4
LG,w77288942890226,남,1978년 10월 25일 (만 47 세),인천,2025-01-07 6:30,4
LG,w287742339648460,여,1979년 07월 02일 (만 46 세),경북,2025-01-07 5:55,7
LG,w8769133034487,남,1963년 03월 23일 (만 62 세),서울,2025-01-06 19:48,10
LG,w209525826912091,남,1971년 03월 05일 (만 54 세),경기,2025-01-07 8:05,1
LG,w119955759471021,남,1966년 09월 07일 (만 59 세),부산,2025-01-07 8:53,4
LG,w84426824382676,여,1991년 06월 05일 (만 34 세),경기,2025-01-10 14:28,10
KT,w85048254883924,여,1995년 05월 24일 (만 30 세),충북,2025-01-06 18:43,10
KT,w159118065527310,여,1994년 11월 22일 (만 31 세),서울,2025-01-06 10:49,5
KT,w57767341688986,남,1952년 07월 28일 (만 73 세),서울,2025-01-07 0:09,2
LG,w42041436867098,여,1972년 02월 01일 (만 53 세),경기,2025-01-11 16:12,"7, 8, 4"
LG,w8103316848740,여,1985년 03월 09일 (만 40 세),경기,2025-01-06 22:55,4
LG,w150835453728771,여,1962년 12월 20일 (만 63 세),경기,2025-01-06 11:30,10
LG,w10987534799964,여,1968년 월 일 (만 57 세),서울,2025-01-07 15:10,10
LG,w344676447790273,여,1989년 08월 21일 (만 36 세),인천,2025-01-13 23:16,1
KT,w164920715734330,남,1976년 11월 29일 (만 49 세),인천,2025-01-06 12:32,4
LG,w22316346379302,남,1980년 02월 28일 (만 45 세),광주,2025-01-06 21:07,2
LG,w56969394712802,여,1980년 01월 21일 (만 45 세),울산,2025-01-06 10:48,"9, 4"
LG,w174408055480102,남,1968년 05월 14일 (만 57 세),서울,2025-01-06 10:53,2
LG,w208362218949973,여,1990년 07월 18일 (만 35 세),충남,2025-01-06 14:09,1
KT,w171139664564572,남,1957년 05월 25일 (만 68 세),전남,2025-01-07 8:00,4
LG,w379886242377066,남,1960년 09월 30일 (만 65 세),경기,2025-01-06 14:31,"4, 5"
LG,w77508558217117,남,1968년 10월 05일 (만 57 세),경남,2025-01-06 10:33,"4, 2"
LG,w172003623824670,여,1997년 03월 31일 (만 28 세),경기,2025-01-06 22:48,"2, 4"
LG,w8381011717816,남,1981년 월 일 (만 44 세),서울,2025-01-06 23:30,4
KT,w340554956926743,남,1982년 03월 10일 (만 43 세),,2025-01-07 2:43,2
LG,w208538385683695,여,2000년 01월 05일 (만 25 세),울산,2025-01-08 0:51,5
KT,w1716344659542,남,1969년 03월 08일 (만 56 세),서울,2025-01-06 11:58,9
LG,w14415788752590,여,1983년 04월 22일 (만 42 세),인천,2025-01-06 19:39,"2, 4"
LG,w165014229966823,남,1973년 07월 03일 (만 52 세),경남,2025-01-06 23:02,4
LG,w22235888825501,여,1979년 03월 01일 (만 46 세),경북,2025-01-06 14:47,"5, 2, 4"
LG,w47551729581661,여,1983년 01월 28일 (만 42 세),경기,2025-01-06 11:18,"1, 4, 3, 2, 5"
LG,w12092198976802,여,1980년 08월 03일 (만 45 세),세종,2025-01-06 11:52,4
KT,w19367710639534,남,1980년 10월 03일 (만 45 세),경남,2025-01-07 5:47,"9, 2, 8"
LG,w36851891930299,여,1983년 05월 30일 (만 42 세),경북,2025-01-07 11:47,10
KT,w14941562779926,남,1960년 12월 17일 (만 65 세),서울,2025-01-07 5:50,"8, 4"
LG,w198547345112015,남,1965년 05월 18일 (만 60 세),경기,2025-01-06 13:46,4
LG,w10021915146319,여,1988년 월 일 (만 37 세),인천,2025-01-09 23:42,10
LG,w58377432890922,여,1975년 05월 08일 (만 50 세),경기,2025-01-06 10:44,10
LG,w174843321094813,여,1975년 09월 14일 (만 50 세),경기,2025-01-06 11:19,10
KT,w247331235869048,남,1987년 02월 20일 (만 38 세),충북,2025-01-07 1:07,10
KT,w127420874189125,여,1994년 09월 15일 (만 31 세),경기,2025-01-06 19:49,3
LG,w15633935530015,남,1972년 12월 12일 (만 53 세),부산,2025-01-07 22:20,"4, 1"
KT,w212025835682688,남,1981년 05월 25일 (만 44 세),경기,2025-01-07 3:12,10
KT,,,(만 2025 세),,2025-01-07 10:38,4
KT,w64594919688152,남,1966년 03월 27일 (만 59 세),경기,2025-01-07 5:40,4
LG,w48764084896996,남,1985년 03월 20일 (만 40 세),경기,2025-01-07 23:34,4
LG,w207597982892291,남,1980년 09월 17일 (만 45 세),서울,2025-01-11 18:12,4
LG,w10715490733950,남,1963년 월 일 (만 62 세),서울,2025-01-07 5:11,4
LG,w10062210286253,여,1983년 04월 22일 (만 42 세),경기,2025-01-06 9:53,6
LG,w153752969008327,여,1961년 12월 27일 (만 64 세),경남,2025-01-06 10:42,2
LG,w23499163706984,남,1965년 07월 11일 (만 60 세),경북,2025-01-08 10:15,10
LG,w159027552353178,남,1978년 11월 05일 (만 47 세),인천,2025-01-07 11:25,8
LG,w82735154447056,여,1974년 10월 02일 (만 51 세),대구,2025-01-06 21:18,4
LG,w199668130502456,남,1968년 02월 01일 (만 57 세),세종,2025-01-06 12:47,4
LG,w56498292576207,남,1985년 02월 23일 (만 40 세),서울,2025-01-07 3:57,6
KT,w8513130815464,남,1979년 12월 24일 (만 46 세),경기,2025-01-06 22:25,10
LG,w7982531543812,남,1972년 06월 18일 (만 53 세),부산,2025-01-07 5:21,4
LG,w221088726105476,여,1974년 04월 02일 (만 51 세),충남,2025-01-06 12:58,2
LG,w8266157893396,남,1976년 07월 19일 (만 49 세),광주,2025-01-09 20:25,4
LG,w137538866761229,남,1961년 03월 31일 (만 64 세),서울,2025-01-09 7:16,10
LG,w15523488091168,남,1996년 월 일 (만 29 세),인천,2025-01-06 19:39,8
LG,w52876076300995,남,1968년 09월 20일 (만 57 세),충남,2025-01-07 21:01,"2, 8"
KT,w249308142183932,여,1990년 09월 23일 (만 35 세),경기,2025-01-06 15:16,"4, 3"
KT,w19475059033064,남,1977년 02월 17일 (만 48 세),제주,2025-01-07 5:54,10
KT,w21499228514480,남,1949년 02월 08일 (만 76 세),경기,2025-01-07 3:53,"4, 2"
LG,w9194693487591,남,1983년 월 일 (만 42 세),경기,2025-01-06 15:47,10
LG,w230143756971477,남,1973년 08월 12일 (만 52 세),경기,2025-01-07 8:08,2
LG,w10297359094282,남,1987년 07월 05일 (만 38 세),경남,2025-01-12 9:22,10
LG,w163019567862410,여,1978년 10월 24일 (만 47 세),서울,2025-01-06 21:08,9
LG,w14607549249756,남,1997년 월 일 (만 28 세),울산,2025-01-06 16:27,3
KT,w10744279291026,남,1969년 02월 15일 (만 56 세),경기,2025-01-06 15:06,2
LG,w116484188063660,여,1981년 01월 24일 (만 44 세),대전,2025-01-06 22:50,4
LG,w15956214705573,여,1997년 09월 12일 (만 28 세),부산,2025-01-06 21:37,4
LG,w10342175700693,여,1967년 월 일 (만 58 세),경기,2025-01-06 17:33,"8, 2, 4"
LG,w8474190411370,남,1999년 월 일 (만 26 세),부산,2025-01-06 22:08,"7, 1"
LG,w116370916819707,여,1963년 08월 19일 (만 62 세),서울,2025-01-07 0:55,"4, 1, 5"
LG,w8511138835907,여,1984년 월 일 (만 41 세),부산,2025-01-07 8:05,10
LG,w199129263967971,남,1959년 11월 27일 (만 66 세),경기,2025-01-06 10:33,4
LG,w57437227710514,남,1965년 02월 28일 (만 60 세),경기,2025-01-06 16:39,10
LG,w169462081293109,여,1971년 05월 09일 (만 54 세),경기,2025-01-06 20:09,10
KT,w264176921808915,남,1973년 07월 15일 (만 52 세),인천,2025-01-06 16:39,4
KT,w164720642235284,여,1974년 11월 25일 (만 51 세),경북,2025-01-06 14:33,4
KT,w166737975521575,남,1958년 03월 25일 (만 67 세),대전,2025-01-07 4:54,"5, 1, 9"
KT,w54816476507191,남,1992년 03월 15일 (만 33 세),서울,2025-01-07 0:18,4
KT,w130408634633167,여,1970년 02월 16일 (만 55 세),전남,2025-01-06 20:35,4
LG,w157880279619641,남,1986년 11월 04일 (만 39 세),서울,2025-01-07 1:15,5
LG,w10130693481035,여,1982년 월 일 (만 43 세),경기,2025-01-07 9:09,4
LG,w91757568487533,여,1993년 10월 21일 (만 32 세),전북,2025-01-08 9:21,4
LG,w10405536830589,남,1970년 월 일 (만 55 세),부산,2025-01-07 8:10,4
LG,w108686986480222,여,1983년 03월 05일 (만 42 세),경기,2025-01-06 10:53,8
LG,w67989353740292,남,1972년 09월 20일 (만 53 세),서울,2025-01-06 17:51,"5, 4"
LG,w188822514380993,여,1992년 05월 11일 (만 33 세),서울,2025-01-06 22:33,"4, 1"
LG,w209394097953453,여,1972년 07월 03일 (만 53 세),광주,2025-01-06 12:26,7
LG,w129070644148547,남,1989년 08월 07일 (만 36 세),서울,2025-01-07 20:36,4
LG,w119546498749769,여,1961년 10월 29일 (만 64 세),경기,2025-01-07 8:39,10
LG,w216941013398064,여,1998년 03월 28일 (만 27 세),전북,2025-01-07 5:25,8
KT,w29349671145126,남,1979년 08월 11일 (만 46 세),경기,2025-01-11 8:06,1
LG,w185152136936229,남,1955년 06월 01일 (만 70 세),경남,2025-01-07 6:45,4
LG,w118426283101988,남,1964년 01월 26일 (만 61 세),경기,2025-01-09 19:15,"1, 2, 4"
LG,w304190487343361,남,1955년 03월 01일 (만 70 세),서울,2025-01-07 6:31,"1, 4"
KT,w164934210080075,여,1975년 01월 28일 (만 50 세),경기,2025-01-06 10:46,4
KT,w33647432146304,남,1981년 04월 07일 (만 44 세),울산,2025-01-06 20:47,2
KT,w174704084531148,남,1983년 04월 04일 (만 42 세),서울,2025-01-06 10:03,"8, 7, 4"
KT,w3397293442066,남,1978년 02월 08일 (만 47 세),경기,2025-01-06 21:19,8
KT,w203138660786993,여,1982년 08월 28일 (만 43 세),대전,2025-01-06 15:47,"7, 4, 2"
KT,w166565316121382,여,1984년 08월 22일 (만 41 세),인천,2025-01-06 10:45,10
KT,,,(만 2025 세),,2025-01-07 10:17,4
KT,w28113982575303,남,1965년 05월 12일 (만 60 세),대전,2025-01-06 16:55,"8, 4"
KT,w271569798955191,남,1973년 12월 06일 (만 52 세),충남,2025-01-09 4:25,"4, 9"
KT,w236284973740997,남,1956년 04월 17일 (만 69 세),경북,2025-01-07 2:51,4
KT,w54736659697094,여,1961년 12월 28일 (만 64 세),충남,2025-01-06 10:20,"4, 3, 2"
LG,w34377537928191,여,1965년 03월 10일 (만 60 세),인천,2025-01-06 21:25,9
LG,w13687245976102,남,1973년 10월 03일 (만 52 세),경기,2025-01-07 13:01,4
LG,w15691682348975,여,1967년 04월 06일 (만 58 세),경북,2025-01-07 23:34,"5, 2"
LG,w11122748061715,남,1967년 12월 22일 (만 58 세),경기,2025-01-06 21:19,4
LG,w211246637977754,남,1960년 02월 29일 (만 65 세),전북,2025-01-07 1:30,1
LG,w61762941645517,남,1963년 07월 07일 (만 62 세),서울,2025-01-07 0:18,5
LG,w82425941871728,남,1963년 01월 27일 (만 62 세),부산,2025-01-07 6:03,4
LG,w352674883297374,여,1980년 03월 13일 (만 45 세),서울,2025-01-06 18:27,10
LG,w64742084950473,남,1980년 05월 28일 (만 45 세),경기,2025-01-07 5:53,2
LG,w166037380362830,여,1969년 01월 23일 (만 56 세),경기,2025-01-07 7:42,4
LG,w180789730350400,남,1965년 09월 16일 (만 60 세),전북,2025-01-06 21:51,10
LG,w175240783481414,남,1970년 07월 25일 (만 55 세),인천,2025-01-06 15:52,8
LG,w10450677043094,여,1969년 06월 27일 (만 56 세),경기,2025-01-06 17:28,4
LG,w36154049268729,여,2004년 08월 09일 (만 21 세),경북,2025-01-06 10:41,4
LG,w122139835712335,남,1971년 02월 11일 (만 54 세),서울,2025-01-06 13:04,10
LG,w117186575255915,남,1964년 07월 02일 (만 61 세),경기,2025-01-07 5:33,8
LG,w24191954561075,여,2001년 01월 05일 (만 24 세),경북,2025-01-09 0:14,4
KT,w141999749446022,남,1974년 05월 10일 (만 51 세),경기,2025-01-07 15:47,"6, 2"
LG,w21836362167097,남,1974년 03월 25일 (만 51 세),경기,2025-01-06 17:15,10
LG,w13378235831018,남,1983년 월 일 (만 42 세),서울,2025-01-06 23:52,5
LG,w15753724995252,남,1964년 01월 25일 (만 61 세),경남,2025-01-06 19:55,"4, 5"
LG,w23470082753974,여,1990년 10월 26일 (만 35 세),경기,2025-01-07 6:43,10
LG,w10909576632376,여,1975년 월 일 (만 50 세),부산,2025-01-06 21:13,10
LG,w13468515144448,여,1970년 06월 02일 (만 55 세),대구,2025-01-06 13:36,2
KT,w15851386718292,남,1984년 02월 03일 (만 41 세),인천,2025-01-06 23:13,10
KT,w98865392933253,남,1969년 05월 09일 (만 56 세),인천,2025-01-07 2:52,4
LG,w186465393463464,남,1962년 11월 08일 (만 63 세),대구,2025-01-07 6:33,4
LG,w10873290493262,여,1983년 월 일 (만 42 세),서울,2025-01-06 23:42,4
LG,w14976896803411,남,1975년 05월 10일 (만 50 세),서울,2025-01-07 7:28,4
LG,w10566260878499,여,1990년 10월 24일 (만 35 세),경남,2025-01-07 14:37,10
LG,w228726670764848,여,1972년 01월 02일 (만 53 세),경북,2025-01-07 14:02,4
KT,w176171140821736,여,1992년 10월 04일 (만 33 세),경남,2025-01-07 18:14,"5, 4, 2"
KT,w151232993105466,남,1963년 02월 20일 (만 62 세),충북,2025-01-09 8:05,4
LG,w10325942190793,남,1990년 월 일 (만 35 세),충북,2025-01-06 20:54,9
LG,w208893718671440,남,1964년 12월 03일 (만 61 세),부산,2025-01-06 12:06,"8, 4, 2, 1, 9"
LG,w10088082010735,남,1972년 월 일 (만 53 세),경기,2025-01-07 6:58,10
LG,w208076368201182,남,1960년 11월 06일 (만 65 세),경기,2025-01-07 11:57,4
LG,w54581350809412,여,1959년 09월 18일 (만 66 세),대전,2025-01-07 6:52,"4, 2"
LG,w11542251805121,여,1970년 02월 13일 (만 55 세),대구,2025-01-07 5:55,9
LG,w103261942010923,남,1975년 08월 02일 (만 50 세),경남,2025-01-07 6:15,4
LG,w13616197185594,여,1987년 01월 16일 (만 38 세),서울,2025-01-07 23:18,10
LG,w383186616609818,여,1957년 11월 27일 (만 68 세),제주,2025-01-06 21:28,4
KT,w164339768385398,여,1994년 04월 04일 (만 31 세),울산,2025-01-07 12:37,4
LG,w90930159087895,여,1989년 07월 06일 (만 36 세),경남,2025-01-07 7:01,9
KT,w5371261671337,남,1973년 02월 10일 (만 52 세),부산,2025-01-12 0:03,5
KT,w236418454587953,남,1979년 11월 24일 (만 46 세),경기,2025-01-06 10:37,8
LG,w109691397387944,여,1960년 09월 01일 (만 65 세),경남,2025-01-06 11:18,4
LG,w10551083470212,남,1982년 월 일 (만 43 세),경기,2025-01-07 14:58,"5, 4, 7"
KT,w155873573115269,남,1973년 09월 18일 (만 52 세),서울,2025-01-06 12:07,"7, 4"
LG,w145003416121207,남,1996년 05월 02일 (만 29 세),서울,2025-01-07 0:24,"4, 2"
LG,w10948924145557,여,1975년 월 일 (만 50 세),서울,2025-01-08 4:02,9
LG,w169594717692970,남,1969년 01월 05일 (만 56 세),대전,2025-01-06 10:12,4
KT,w221110120153560,여,1972년 09월 06일 (만 53 세),서울,2025-01-06 18:48,4
LG,w50948984025366,여,1984년 08월 04일 (만 41 세),경기,2025-01-06 21:56,2
LG,w163035727589118,남,1986년 04월 28일 (만 39 세),서울,2025-01-07 14:35,4
LG,w12903138997832,남,1965년 02월 01일 (만 60 세),경기,2025-01-06 20:42,2
LG,w16108688350212,남,1969년 02월 16일 (만 56 세),경기,2025-01-07 22:14,10
KT,,,(만 2025 세),,2025-01-06 13:55,"1, 4"
KT,w272029033675954,여,2003년 08월 30일 (만 22 세),서울,2025-01-09 22:14,"4, 2"
LG,w161974244627213,남,1990년 10월 23일 (만 35 세),경남,2025-01-07 23:28,4
LG,w267109614512466,남,1980년 11월 01일 (만 45 세),울산,2025-01-07 3:58,10
LG,w7645759183205,남,1987년 월 일 (만 38 세),충남,2025-01-07 1:13,4
LG,w110342976483925,여,1965년 12월 31일 (만 60 세),울산,2025-01-06 10:02,6
KT,,,(만 2025 세),,2025-01-06 23:25,6
LG,w166290286940773,남,1973년 09월 19일 (만 52 세),서울,2025-01-07 7:30,4
LG,w221965290648781,남,1959년 10월 13일 (만 66 세),부산,2025-01-07 5:58,4
LG,w208396478625056,여,1974년 04월 19일 (만 51 세),인천,2025-01-06 20:11,10
KT,w98525546788219,남,1955년 06월 06일 (만 70 세),대전,2025-01-07 0:38,"4, 2, 5"
LG,w87910798540824,남,1982년 12월 19일 (만 43 세),경남,2025-01-07 5:13,4
KT,w164963295879557,남,1998년 11월 26일 (만 27 세),강원,2025-01-09 9:40,4
KT,w66136672253769,남,1992년 09월 15일 (만 33 세),충남,2025-01-06 10:47,2
LG,w384708878340243,여,1998년 02월 24일 (만 27 세),서울,2025-01-06 20:10,4
LG,w13847344264726,여,1981년 월 일 (만 44 세),서울,2025-01-06 22:07,10
LG,w207900139055465,여,1995년 09월 26일 (만 30 세),경기,2025-01-07 7:17,10
LG,w74883549143906,여,1966년 08월 13일 (만 59 세),서울,2025-01-06 22:01,1
LG,w9847193577426,여,1977년 월 일 (만 48 세),서울,2025-01-06 23:38,1
LG,w7049854397479,남,1982년 월 일 (만 43 세),서울,2025-01-07 4:08,10
KT,w305519295900498,여,1975년 12월 14일 (만 50 세),,2025-01-06 12:25,"2, 3, 4"
LG,w16719216122029,남,1973년 01월 16일 (만 52 세),부산,2025-01-12 15:47,8
LG,w22732930917953,남,1976년 10월 28일 (만 49 세),경기,2025-01-06 16:29,7
LG,w79796387192770,남,1968년 08월 26일 (만 57 세),세종,2025-01-06 15:40,4
LG,w9796284149411,여,1976년 월 일 (만 49 세),경기,2025-01-06 21:29,10
KT,w84033449919996,여,1967년 02월 13일 (만 58 세),경남,2025-01-08 10:09,4
KT,w106316043120579,남,1970년 08월 16일 (만 55 세),경기,2025-01-06 11:26,2
KT,w24905922732114,남,1988년 04월 07일 (만 37 세),경기,2025-01-13 21:22,4
Wiz,w122374899422,남,1958년 05월 17일 (만 67 세),경북,2025-01-06 11:10,5
LG,w203296878447230,남,1968년 12월 05일 (만 57 세),광주,2025-01-06 11:34,4
LG,w138674195225507,남,1959년 12월 25일 (만 66 세),경남,2025-01-06 11:02,4
LG,w162820596454769,남,1999년 09월 24일 (만 26 세),경기,2025-01-07 0:35,"4, 1"
LG,w11470494586272,여,1991년 01월 08일 (만 34 세),서울,2025-01-07 18:20,2
LG,w166707414948876,여,1968년 05월 15일 (만 57 세),경북,2025-01-06 23:37,"7, 3"
LG,w10923924003368,남,1978년 03월 17일 (만 47 세),부산,2025-01-07 1:45,5
LG,w67918187997043,남,1970년 11월 13일 (만 55 세),경남,2025-01-07 6:21,"8, 4"
LG,w8448753693953,여,1952년 02월 21일 (만 73 세),경기,2025-01-08 20:53,10
KT,w79165595181588,남,1986년 05월 20일 (만 39 세),서울,2025-01-06 15:55,2
KT,w136551739086651,남,1950년 02월 23일 (만 75 세),경기,2025-01-07 10:54,4
LG,w170339652642491,남,1974년 05월 26일 (만 51 세),경기,2025-01-06 23:27,10
LG,w52381241376598,여,1983년 01월 20일 (만 42 세),강원,2025-01-10 11:38,5
LG,w163142469789657,여,1999년 06월 18일 (만 26 세),인천,2025-01-06 23:06,"7, 1, 3"
KT,w28726558027018,남,1962년 03월 25일 (만 63 세),경남,2025-01-07 2:07,4
LG,w81051412919556,여,1964년 08월 15일 (만 61 세),충북,2025-01-06 20:23,9
LG,w8447362316682,남,1976년 월 일 (만 49 세),경북,2025-01-07 5:21,4
LG,w194030755252147,여,1974년 07월 25일 (만 51 세),인천,2025-01-06 11:20,4
LG,w10847137896796,남,1983년 월 일 (만 42 세),부산,2025-01-06 19:00,"4, 9, 2"
KT,w368712942978,남,1944년 11월 18일 (만 81 세),경남,2025-01-08 6:40,10
LG,w16124995659072,여,1989년 10월 30일 (만 36 세),경북,2025-01-06 12:38,9
LG,w50127860352436,여,1981년 06월 17일 (만 44 세),부산,2025-01-07 0:01,4
KT,,,(만 2025 세),,2025-01-06 10:19,5
KT,w239419140103705,여,2002년 05월 29일 (만 23 세),부산,2025-01-12 18:53,10
LG,w50135127835815,남,1977년 01월 18일 (만 48 세),경기,2025-01-07 6:11,4
LG,w94609994298404,여,1950년 09월 08일 (만 75 세),경기,2025-01-07 9:34,4
KT,w175753225521748,남,1970년 10월 26일 (만 55 세),경남,2025-01-07 7:25,8
KT,w18697166215825,남,1958년 06월 07일 (만 67 세),경기,2025-01-07 0:15,8
KT,w49418213844951,여,1972년 02월 10일 (만 53 세),서울,2025-01-08 5:15,10
KT,w49432841617589,여,1960년 08월 28일 (만 65 세),서울,2025-01-06 18:01,"8, 4"
KT,w251489570557065,여,1989년 04월 21일 (만 36 세),서울,2025-01-12 18:34,"4, 2, 1"
KT,w49890788176694,여,1964년 05월 03일 (만 61 세),서울,2025-01-06 10:38,"3, 4"
KT,w64723661466411,남,1992년 03월 07일 (만 33 세),서울,2025-01-07 21:30,1
KT,w178802634386461,남,1953년 08월 20일 (만 72 세),경기,2025-01-07 6:08,4
KT,w248367594309387,남,2007년 12월 01일 (만 18 세),경북,2025-01-09 2:09,2
KT,,,(만 2025 세),,2025-01-07 15:55,"2, 1"
KT,w28378132943426,남,1961년 02월 13일 (만 64 세),세종,2025-01-06 22:37,"4, 8"
KT,w202236385737819,남,1967년 04월 09일 (만 58 세),경남,2025-01-07 7:58,4
KT,w27177571193930,남,1971년 09월 26일 (만 54 세),경기,2025-01-07 6:46,4
KT,w84285852779438,남,1987년 10월 29일 (만 38 세),울산,2025-01-07 4:22,"2, 6"
KT,w191929077054078,남,1971년 12월 04일 (만 54 세),대전,2025-01-06 19:26,"4, 8, 5"
KT,w164297414201409,여,1991년 07월 03일 (만 34 세),서울,2025-01-07 20:44,10
KT,w163248347074726,남,1972년 10월 15일 (만 53 세),부산,2025-01-06 14:25,"8, 4, 2"
KT,w166635853000296,남,1970년 06월 07일 (만 55 세),경기,2025-01-13 13:26,"6, 8, 4, 1"
KT,w13092568899097,남,1961년 03월 25일 (만 64 세),경기,2025-01-07 3:40,8
KT,w166044376561617,여,1968년 03월 30일 (만 57 세),울산,2025-01-08 11:40,4
KT,w32478124039643,여,1971년 02월 09일 (만 54 세),경기,2025-01-06 15:21,4
KT,w167138417671172,여,1993년 09월 04일 (만 32 세),서울,2025-01-10 0:04,4
KT,w273371887263095,여,1986년 03월 19일 (만 39 세),경남,2025-01-12 20:54,9
KT,w195078594070177,남,1957년 05월 22일 (만 68 세),부산,2025-01-07 14:24,10
KT,w123455786874198,남,1970년 04월 21일 (만 55 세),대구,2025-01-06 14:52,2
KT,w163874364880460,남,1959년 01월 17일 (만 66 세),부산,2025-01-07 14:36,4
KT,w234230666944780,여,1944년 04월 28일 (만 81 세),경기,2025-01-06 13:14,7
KT,w31336244524286,여,1992년 02월 25일 (만 33 세),서울,2025-01-11 16:29,3
KT,w16483221602638,남,1967년 11월 03일 (만 58 세),부산,2025-01-06 14:15,6
KT,w256435214431378,여,1975년 06월 23일 (만 50 세),서울,2025-01-06 12:44,"4, 2"
KT,w19520140032767,남,1975년 01월 05일 (만 50 세),서울,2025-01-09 23:05,5
KT,w168438977973418,남,1963년 06월 25일 (만 62 세),전남,2025-01-12 0:37,9
Wiz,w6670123045634,남,1987년 07월 30일 (만 38 세),인천,2025-01-06 10:41,"4, 2, 8, 1"
Wiz,w6670521333071,여,1989년 12월 23일 (만 36 세),인천,2025-01-06 10:29,"4, 8"
LG,w30120011513313,여,1969년 03월 26일 (만 56 세),경북,2025-01-10 17:29,"4, 9"
LG,w175413199744255,남,1976년 11월 29일 (만 49 세),경기,2025-01-07 5:31,10
LG,w268155179040612,남,1979년 04월 01일 (만 46 세),경기,2025-01-07 7:23,8
LG,w186383332692918,여,1985년 07월 08일 (만 40 세),서울,2025-01-07 8:44,"7, 5, 4"
KT,w190782732794657,여,1997년 06월 10일 (만 28 세),충남,2025-01-06 19:10,7
